name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,34.9,1550,25.6,Black / Silver,
ARCTIC Liquid Freezer III Pro 360,84.99,"600,3000",,Black,360
Cooler Master Hyper 212 Black Edition,25.99,"650,2000","6.5,26",Black,
Thermalright Phantom Spirit 120 SE ARGB,37.9,1500,25.6,Black / Silver,
Thermalright Aqua Elite V3,54.9,1500,25.6,Black,360
Noctua NH-D15 chromax.black,139.94,"300,1500","19.2,24.6",Black,
NZXT Kraken 360,179.99,"500,1800","17.9,30.6",Black,360
Corsair NAUTILUS 360 RS ARGB,129.99,2100,34,Black,360
ARCTIC Liquid Freezer III 360 A-RGB,159.99,"200,2000",,Black,360
Thermalright Assassin X 120 Refined SE,17.89,1550,25.6,Black / Silver,
Cooler Master MasterLiquid 360L Core ARGB,74.98,"350,1750",27.2,Black,360
ARCTIC Liquid Freezer III Pro A-RGB 360,93.99,"600,3000",,Black,360
Thermalright Phantom Spirit 120 SE,35.9,1500,25.6,Black / Silver,
ID-COOLING SE-214-XT ARGB,17.98,"500,1500","13.8,30.5",Black,
NZXT Kraken 240,99.99,"500,1800","17.9,30.6",Black,240
Thermalright Aqua Elite V3,44.9,1500,25.6,Black,240
Thermalright Peerless Assassin 120 SE ARGB,36.9,1550,25.6,Black,
ARCTIC Liquid Freezer III 360 A-RGB,149.99,"200,2000",,White,360
AMD Wraith Prism,62.35,2800,42,,
ARCTIC Freezer 36,44.19,"200,1800",,Black,
Corsair NAUTILUS 360 RS ARGB,129.99,2100,34,White,360
ARCTIC Liquid Freezer III Pro A-RGB 360,100.49,"600,3000",,White,360
Thermalright Phantom Spirit EVO,59.99,2150,27,Black,
Noctua NH-D15,129.94,"300,1500","19.2,24.6",,
be quiet! Dark Rock Pro 5,99.9,"1300,2000","8.9,23.3",Black,
NZXT Kraken Elite 360 RGB,,"500,1800","17.9,30.6",White,360
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",White,360
Asus ROG STRIX LC 360 RGB GUNDAM,1621,"800,2500",37.6,White,360
Thermalright Frozen Notte ARGB,55.39,2000,27.7,Black,360
Thermalright Peerless Assassin 120 SE WHITE ARGB,36.9,1550,25.6,White,
ARCTIC Liquid Freezer III Pro,70.98,"600,3000",,Black,240
Corsair iCUE LINK TITAN 360 RX LCD,194.99,"300,2100","10,36",Black,360
ID-COOLING FROZN A620 PRO SE,29.99,"300,2000",27.2,Black,
Noctua NH-L9x65 chromax.black,79.95,"600,2500","14.8,23.6",Black,
Thermalright Assassin King SE ARGB,19.09,1550,25.6,White,
Corsair iCUE H150i ELITE LCD XT,,"550,2100","5,34.1",Black,360
Lian Li Galahad II Trinity SL-INF,168.99,2100,29,Black,360
NZXT Kraken 360 RGB,199.99,"500,1800","17.9,30.6",Black,360
Noctua NH-L9A-AM5,49.95,"600,2500","14.8,23.6",Brown / Silver,
