name,price,type,efficiency,wattage,modular,color
MSI MAG A750GL PCIE5,109.99,ATX,gold,750,Full,Black
MSI MAG A850GL PCIE5,121.99,ATX,gold,850,Full,Black
MSI MAG A650BN,74.98,ATX,bronze,650,false,Black
Corsair RM1000e (2023),179.99,ATX,gold,1000,Full,Black
Corsair RM750e (2025),99.99,ATX,,750,Full,Black
Corsair RM850e (2025),119.99,ATX,,850,Full,Black
MSI MAG A550BN,54.99,ATX,bronze,550,false,Black
Corsair RM850x (2024),144.99,ATX,,850,Full,Black
Corsair SF1000 (2024),239.99,SFX,platinum,1000,Full,Black
MSI MAG A650GL,129.94,ATX,gold,650,Full,Black
Cooler Master MWE Gold 850 - V2,89.99,ATX,gold,850,Full,Black
Thermaltake Smart,39.95,ATX,plus,500,false,
Corsair SF750 (2024),179.99,SFX,platinum,750,Full,Black
Montech CENTURY II,89.9,ATX,gold,850,Full,Black
Corsair RM1000x (2024),209.95,ATX,,1000,Full,Black
Corsair CX (2023),69.98,ATX,bronze,650,false,Black
Asus ROG THOR 1600T Gaming,986.98,ATX,titanium,1600,Full,Silver / Black
be quiet! Pure Power 12 M,124.9,ATX,gold,850,Full,Black
MSI MAG A850GL PCIE5,132.99,ATX,gold,850,Full,White
Corsair RM850,124.99,ATX,gold,850,Full,White / Black
Thermaltake Smart,44.99,ATX,plus,600,false,
Corsair SF850 (2024),194.99,SFX,platinum,850,Full,Black
Corsair RM1000e (2025),159.99,ATX,,1000,Full,Black
Corsair RM650e (2025),104.99,ATX,,650,Full,Black
Gigabyte UD750GM,,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,98.9,ATX,gold,750,Full,Black
Thermaltake Toughpower GX2,69.98,ATX,gold,600,false,Black
Lian Li EDGE,182.28,ATX,platinum,1000,Full,White
Apevia Galaxy,54.99,ATX,gold,650,Semi,Black
Thermaltake Toughpower GF1 (2024),103.99,ATX,gold,850,Full,Black
MSI MAG A750BN PCIE5,74.98,ATX,bronze,750,false,Black
Lian Li SP,127.99,SFX,gold,750,Full,Black
Corsair RM750e (2023),,ATX,gold,750,Full,Black
Cooler Master V850 SFX GOLD,149.99,SFX,gold,850,Full,Black
Corsair AX1600i,609.99,ATX,titanium,1600,Full,
Corsair CX (2023),64.98,ATX,bronze,550,false,Black
be quiet! Dark Power 13,267.36,ATX,titanium,1000,Full,Black
Corsair RM750e (2025),109.99,ATX,,750,Full,White
Corsair HX1500i (2023),258.99,ATX,platinum,1500,Full,Black
